央视频道,#genre#
CCTV-1 综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$111.9.163.109:9901
CCTV-1 综合,http://58.245.97.28:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-1 综合,http://222.134.245.16:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-1 综合,http://112.123.206.32:808/hls/1/index.m3u8$112.123.206.32:808
CCTV-1 综合,http://110.189.102.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-1 综合,http://58.51.111.46:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-1 综合,http://223.151.49.74:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-1 综合,http://223.241.247.214:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-1 综合,http://61.138.54.155:2233/hls/1/index.m3u8$61.138.54.155:2233
CCTV-1 综合,http://202.100.46.58:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-2 财经,http://222.134.245.16:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-2 财经,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$111.9.163.109:9901
CCTV-2 财经,http://58.245.97.28:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-2 财经,http://110.189.102.15:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-2 财经,http://58.51.111.46:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-2 财经,http://112.123.206.32:808/hls/2/index.m3u8$112.123.206.32:808
CCTV-2 财经,http://223.151.49.74:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-2 财经,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-2 财经,http://61.138.54.155:2233/hls/2/index.m3u8$61.138.54.155:2233
CCTV-2 财经,http://219.147.200.9:18080/newlive/live/hls/2/live.m3u8$219.147.200.9:18080
CCTV-3 综艺,http://222.134.245.16:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-3 综艺,http://110.189.102.15:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-3 综艺,http://61.138.54.155:2233/hls/3/index.m3u8$61.138.54.155:2233
CCTV-3 综艺,http://58.245.97.28:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-3 综艺,http://223.151.49.74:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-3 综艺,http://112.123.206.32:808/hls/3/index.m3u8$112.123.206.32:808
CCTV-3 综艺,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$111.9.163.109:9901
CCTV-3 综艺,http://42.48.17.204:808/hls/3/index.m3u8$42.48.17.204:808
CCTV-3 综艺,http://223.241.247.214:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-3 综艺,http://58.51.111.46:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-4 中文国际,http://58.245.97.28:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-4 中文国际,http://222.134.245.16:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-4 中文国际,http://112.123.206.32:808/hls/4/index.m3u8$112.123.206.32:808
CCTV-4 中文国际,http://110.189.102.15:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-4 中文国际,http://111.9.163.109:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$111.9.163.109:9901
CCTV-4 中文国际,http://223.241.247.214:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-4 中文国际,http://42.48.17.204:808/hls/4/index.m3u8$42.48.17.204:808
CCTV-4 中文国际,http://58.51.111.46:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-4 中文国际,http://223.151.49.74:59901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-4 中文国际,http://58.48.37.158:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-5 体育,http://222.134.245.16:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-5 体育,http://110.189.102.15:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-5 体育,http://58.245.97.28:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-5 体育,http://111.9.163.109:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$111.9.163.109:9901
CCTV-5 体育,http://112.123.206.32:808/hls/5/index.m3u8$112.123.206.32:808
CCTV-5 体育,http://223.151.49.74:59901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-5 体育,http://61.138.54.155:2233/hls/5/index.m3u8$61.138.54.155:2233
CCTV-5 体育,http://58.51.111.46:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-5 体育,http://223.241.247.214:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-5 体育,http://202.100.46.58:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-5+ 体育赛事,http://222.134.245.16:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-5+ 体育赛事,http://112.123.206.32:808/hls/6/index.m3u8$112.123.206.32:808
CCTV-5+ 体育赛事,http://223.151.49.74:59901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-5+ 体育赛事,http://123.189.36.186:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-5+ 体育赛事,http://58.48.37.158:1111/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-5+ 体育赛事,http://119.163.199.98:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$119.163.199.98:9901
CCTV-6 电影,http://110.189.102.15:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-6 电影,http://111.9.163.109:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$111.9.163.109:9901
CCTV-6 电影,http://58.51.111.46:1111/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-6 电影,http://58.245.97.28:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-6 电影,http://222.134.245.16:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-6 电影,http://223.151.49.74:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-6 电影,http://58.48.37.158:1111/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
