101.229.227.246:7777,#genre#
1,http://101.229.227.246:7777/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
2,http://101.229.227.246:7777/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
3,http://101.229.227.246:7777/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
4,http://101.229.227.246:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
5,http://101.229.227.246:7777/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
6,http://101.229.227.246:7777/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
7,http://101.229.227.246:7777/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
8,http://101.229.227.246:7777/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
9,http://101.229.227.246:7777/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
10,http://101.229.227.246:7777/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
11,http://101.229.227.246:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
12,http://101.229.227.246:7777/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
13,http://101.229.227.246:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
14,http://101.229.227.246:7777/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
15,http://101.229.227.246:7777/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
16,http://101.229.227.246:7777/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
107,http://101.229.227.246:7777/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
109,http://101.229.227.246:7777/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
110,http://101.229.227.246:7777/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
111,http://101.229.227.246:7777/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
112,http://101.229.227.246:7777/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
113,http://101.229.227.246:7777/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
115,http://101.229.227.246:7777/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
116,http://101.229.227.246:7777/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
117,http://101.229.227.246:7777/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
118,http://101.229.227.246:7777/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
119,http://101.229.227.246:7777/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
120,http://101.229.227.246:7777/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
121,http://101.229.227.246:7777/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
122,http://101.229.227.246:7777/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
123,http://101.229.227.246:7777/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
124,http://101.229.227.246:7777/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
125,http://101.229.227.246:7777/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
126,http://101.229.227.246:7777/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
127,http://101.229.227.246:7777/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
128,http://101.229.227.246:7777/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
130,http://101.229.227.246:7777/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
131,http://101.229.227.246:7777/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
132,http://101.229.227.246:7777/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
135,http://101.229.227.246:7777/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
136,http://101.229.227.246:7777/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
137,http://101.229.227.246:7777/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
138,http://101.229.227.246:7777/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
139,http://101.229.227.246:7777/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
140,http://101.229.227.246:7777/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
141,http://101.229.227.246:7777/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
142,http://101.229.227.246:7777/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
143,http://101.229.227.246:7777/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1025,http://101.229.227.246:7777/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1026,http://101.229.227.246:7777/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1027,http://101.229.227.246:7777/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1028,http://101.229.227.246:7777/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1029,http://101.229.227.246:7777/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1030,http://101.229.227.246:7777/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1031,http://101.229.227.246:7777/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1032,http://101.229.227.246:7777/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1033,http://101.229.227.246:7777/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1034,http://101.229.227.246:7777/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1035,http://101.229.227.246:7777/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1036,http://101.229.227.246:7777/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1037,http://101.229.227.246:7777/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1038,http://101.229.227.246:7777/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1039,http://101.229.227.246:7777/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1040,http://101.229.227.246:7777/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1041,http://101.229.227.246:7777/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1042,http://101.229.227.246:7777/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1043,http://101.229.227.246:7777/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1044,http://101.229.227.246:7777/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1045,http://101.229.227.246:7777/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1046,http://101.229.227.246:7777/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1047,http://101.229.227.246:7777/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1048,http://101.229.227.246:7777/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1049,http://101.229.227.246:7777/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1050,http://101.229.227.246:7777/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1051,http://101.229.227.246:7777/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1052,http://101.229.227.246:7777/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1053,http://101.229.227.246:7777/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1055,http://101.229.227.246:7777/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777
1056,http://101.229.227.246:7777/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0$101.229.227.246:7777

111.160.17.2:59902,#genre#
107,http://111.160.17.2:59902/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
111,http://111.160.17.2:59902/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
112,http://111.160.17.2:59902/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
116,http://111.160.17.2:59902/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
117,http://111.160.17.2:59902/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
118,http://111.160.17.2:59902/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
119,http://111.160.17.2:59902/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
120,http://111.160.17.2:59902/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
122,http://111.160.17.2:59902/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
125,http://111.160.17.2:59902/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
126,http://111.160.17.2:59902/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
127,http://111.160.17.2:59902/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
130,http://111.160.17.2:59902/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
136,http://111.160.17.2:59902/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
139,http://111.160.17.2:59902/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
140,http://111.160.17.2:59902/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
141,http://111.160.17.2:59902/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
142,http://111.160.17.2:59902/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
143,http://111.160.17.2:59902/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$111.160.17.2:59902
